"x"
"MAP4K2"
"PNOC"
"PTGDR"
"IL7R"
"STXBP6"
"CXCL10"
"CXCL11"
"ADRB2"
"RNASE2"
"RNASE6"
"SCN9A"
"GPR183"
"REPS2"
"GPR25"
"DENND5B"
"MZB1"
"CEACAM3"
"FPR2"
"FPR1"
"COL8A2"
"C3AR1"
"CD8B"
"CXCR6"
"AZU1"
"TPSAB1"
"CLEC7A"
"MANEA"
"CTSW"
"CCL19"
"HPSE"
"HSPA6"
"TNFRSF10C"
"C11orf80"
"CD7"
"MARCH3"
"BRSK2"
"P2RY14"
"GPR171"
"P2RY2"
"ZNF135"
"GNG7"
"KCNA3"
"HIC1"
"CD19"
"KCNG2"
"CA8"
"CD28"
"MSC"
"FCER1A"
"FZD2"
"PRF1"
"S1PR5"
"CXCR2"
"CCL13"
"P2RY13"
"CHST15"
"FES"
"LCK"
"GPR19"
"PMCH"
"KLRC4"
"CCR3"
"GPR1"
"SH2D1A"
"MROH7"
"EFNA5"
"CSF1"
"CCR10"
"SEPT5"
"MAGEA11"
"SOCS1"
"FAM174B"
"RASA3"
"PRG2"
"IFNA10"
"TNFRSF4"
"FPR3"
"ZNF286A"
"PDCD1"
"SELL"
"KIR2DL4"
"RYR1"
"NPIPB15"
"HRH1"
"TLR7"
"HLA-DQA1"
"GAL3ST4"
"ZNF165"
"C5AR1"
"GYPE"
"GZMM"
"ELANE"
"DPP4"
"PDCD1LG2"
"FAM212B"
"UGT2B17"
"ZNF442"
"NTRK1"
"CD247"
"CD3E"
"LIME1"
"AIF1"
"NCR3"
"LST1"
"ZNF204P"
"PCDHA5"
"ZBTB10"
"KLRC3"
"CEMP1"
"IGLL3P"
"COLQ"
"IGKC"
"TRBC1"
"TRAV13-1"
"TRAV12-2"
"TRAV13-2"
"TRAV9-2"
"TRAV8-6"
"TRAV21"
"TRDC"
"IGHE"
"IGHD"
"IGHM"
"LTC4S"
"PTPRCAP"
"PVRIG"
"HMGB3P30"
"LAT"
"KLRK1"
"KRT18P50"
"SLC12A8"
"KIR2DS4"
"APOL6"
"RPL3P7"
"LTA"
"LTB"
"GUSBP11"
"ATXN8OS"
"TARDBPP1"
"APOBEC3G"
"LILRA4"
"LILRA2"
"KIR3DL2"
"TNFRSF13B"
"HLA-DOB"
"PSG2"
"UGT1A8"
"MICAL3"
"MGAM"
"MMP12"
"SPIB"
"CCL5"
"HIST1H2BG"
"CCL23"
"CCL4"
"CCL18"
"CCL14"
"DACH1"
"HIST1H2AE"
"TRAC"
"DHRS11"
"LINC00921"
